Week,Global warming,Pollution,Endangered species
2013-07-28,17,25,13
2013-08-04,17,24,14
2013-08-11,18,28,13
2013-08-18,17,28,15
2013-08-25,22,32,20
2013-09-01,23,37,21
2013-09-08,36,44,24
2013-09-15,35,48,29
2013-09-22,45,50,31
2013-09-29,40,50,33
2013-10-06,37,54,34
2013-10-13,35,55,32
2013-10-20,36,67,35
2013-10-27,36,62,34
2013-11-03,40,63,43
2013-11-10,46,65,40
2013-11-17,46,70,45
2013-11-24,31,40,22
2013-12-01,49,74,41
2013-12-08,48,71,38
2013-12-15,34,48,30
2013-12-22,17,21,10
2013-12-29,31,25,14
2014-01-05,80,54,28
2014-01-12,37,67,37
2014-01-19,40,57,31
2014-01-26,51,52,32
2014-02-02,40,54,35
2014-02-09,45,53,33
2014-02-16,50,56,34
2014-02-23,50,66,39
2014-03-02,49,60,35
2014-03-09,41,64,36
2014-03-16,43,65,35
2014-03-23,42,65,36
2014-03-30,52,68,39
2014-04-06,50,69,41
2014-04-13,47,65,36
2014-04-20,51,82,48
2014-04-27,54,82,51
2014-05-04,65,75,51
2014-05-11,67,71,51
2014-05-18,58,73,49
2014-05-25,44,59,35
2014-06-01,47,55,32
2014-06-08,30,42,22
2014-06-15,24,32,18
2014-06-22,25,30,14
2014-06-29,20,29,29
2014-07-06,19,31,20
2014-07-13,20,25,18
2014-07-20,18,29,14
2014-07-27,19,32,16
2014-08-03,16,35,14
2014-08-10,14,30,14
2014-08-17,17,30,14
2014-08-24,23,35,17
2014-08-31,33,41,22
2014-09-07,33,46,27
2014-09-14,36,51,29
2014-09-21,53,55,30
2014-09-28,42,54,36
2014-10-05,44,57,34
2014-10-12,35,61,34
2014-10-19,41,62,36
2014-10-26,40,62,34
2014-11-02,48,62,39
2014-11-09,48,66,36
2014-11-16,59,69,41
2014-11-23,35,47,22
2014-11-30,48,67,43
2014-12-07,43,68,38
2014-12-14,34,54,31
2014-12-21,15,21,13
2014-12-28,14,21,13
2015-01-04,28,46,32
2015-01-11,37,60,33
2015-01-18,40,54,34
2015-01-25,41,58,34
2015-02-01,39,60,36
2015-02-08,46,65,36
2015-02-15,48,55,27
2015-02-22,55,63,40
2015-03-01,52,73,38
2015-03-08,49,69,36
2015-03-15,46,65,35
2015-03-22,46,77,40
2015-03-29,40,63,33
2015-04-05,41,69,38
2015-04-12,49,85,50
2015-04-19,60,96,57
2015-04-26,57,93,56
2015-05-03,52,88,56
2015-05-10,47,80,59
2015-05-17,55,74,53
2015-05-24,43,62,40
2015-05-31,38,60,33
2015-06-07,28,46,24
2015-06-14,29,33,19
2015-06-21,21,32,17
2015-06-28,19,28,14
2015-07-05,20,28,16
2015-07-12,20,26,17
2015-07-19,22,26,14
2015-07-26,23,29,38
2015-08-02,22,30,30
2015-08-09,17,50,15
2015-08-16,20,33,19
2015-08-23,24,38,17
2015-08-30,30,42,23
2015-09-06,30,48,27
2015-09-13,37,52,31
2015-09-20,41,62,30
2015-09-27,40,67,33
2015-10-04,44,62,36
2015-10-11,41,64,35
2015-10-18,47,68,41
2015-10-25,46,68,38
2015-11-01,53,71,42
2015-11-08,47,75,40
2015-11-15,58,79,47
2015-11-22,36,47,22
2015-11-29,79,94,45
2015-12-06,73,100,45
2015-12-13,77,71,35
2015-12-20,48,32,15
2015-12-27,30,28,13
2016-01-03,31,52,30
2016-01-10,35,57,37
2016-01-17,38,54,29
2016-01-24,38,60,34
2016-01-31,39,67,35
2016-02-07,35,63,32
2016-02-14,38,57,28
2016-02-21,43,73,36
2016-02-28,51,71,36
2016-03-06,48,71,36
2016-03-13,45,67,36
2016-03-20,39,61,30
2016-03-27,36,61,31
2016-04-03,46,78,40
2016-04-10,47,81,44
2016-04-17,55,95,48
2016-04-24,52,84,47
2016-05-01,52,83,48
2016-05-08,49,77,47
2016-05-15,44,75,48
2016-05-22,39,67,41
2016-05-29,29,49,40
2016-06-05,23,43,26
2016-06-12,17,31,21
2016-06-19,17,29,14
2016-06-26,17,33,16
2016-07-03,14,30,15
2016-07-10,14,24,14
2016-07-17,18,29,14
2016-07-24,20,27,13
2016-07-31,20,32,12
2016-08-07,16,33,15
2016-08-14,21,29,14
2016-08-21,22,30,16
2016-08-28,24,33,20
2016-09-04,27,41,29
2016-09-11,31,50,28
2016-09-18,32,49,29
2016-09-25,47,57,33
2016-10-02,37,52,50
2016-10-09,35,51,44
2016-10-16,38,55,38
2016-10-23,39,63,38
2016-10-30,52,68,34
2016-11-06,64,63,32
2016-11-13,75,72,37
2016-11-20,42,42,22
2016-11-27,59,70,41
2016-12-04,66,75,39
2016-12-11,56,66,35
2016-12-18,32,40,21
2016-12-25,22,20,18
2017-01-01,32,42,29
2017-01-08,40,56,38
2017-01-15,48,57,37
2017-01-22,62,64,45
2017-01-29,45,68,42
2017-02-05,50,66,36
2017-02-12,49,72,45
2017-02-19,55,66,39
2017-02-26,54,74,41
2017-03-05,53,76,46
2017-03-12,46,64,38
2017-03-19,41,76,46
2017-03-26,49,68,42
2017-04-02,42,74,45
2017-04-09,36,62,40
2017-04-16,49,82,47
2017-04-23,60,89,52
2017-04-30,56,78,50
2017-05-07,52,81,51
2017-05-14,47,78,53
2017-05-21,40,63,40
2017-05-28,75,68,29
2017-06-04,56,51,26
2017-06-11,26,34,19
2017-06-18,25,29,18
2017-06-25,19,29,16
2017-07-02,19,30,17
2017-07-09,25,26,16
2017-07-16,22,29,14
2017-07-23,20,27,17
2017-07-30,22,31,15
2017-08-06,24,29,14
2017-08-13,14,26,14
2017-08-20,19,28,16
2017-08-27,38,36,18
2017-09-03,56,43,18
2017-09-10,51,44,21
2017-09-17,46,50,24
2017-09-24,37,50,28
2017-10-01,30,50,29
2017-10-08,33,60,29
2017-10-15,33,64,30
2017-10-22,35,67,35
2017-10-29,38,62,34
2017-11-05,37,70,33
2017-11-12,41,79,42
2017-11-19,22,40,22
2017-11-26,42,72,39
2017-12-03,51,82,40
2017-12-10,43,74,38
2017-12-17,28,42,24
2017-12-24,39,20,12
2017-12-31,67,34,21
2018-01-07,44,56,31
2018-01-14,39,50,30
2018-01-21,36,60,35
2018-01-28,37,62,36
